datum,ervaring,geslacht,gewichtsklasse,ploeg,naam,zone,trainingype,500_split,aantal_intervallen,intervaltype,interval_afstand,interval_tijd,interval_nummer,rust,machine,spm,2k tijd,2k datum
20-10-2021,1,M,Z,MGH,z5,I,3x2000m/5'r,1:39.9,3,afstand,2000,,3,300,ergometer,24-26-28-30,6:11.8,11-12-2021
20-10-2021,1,M,Z,MGH,z6,I,3x2000m/5'r,1:43.2,3,afstand,2000,,1,300,ergometer,24-26-28-30,6:29.4,11-12-2021
20-10-2021,1,M,Z,MGH,z6,I,3x2000m/5'r,1:46.0,3,afstand,2000,,2,300,ergometer,24-26-28-30,6:29.4,11-12-2021
20-10-2021,1,M,Z,MGH,z6,I,3x2000m/5'r,1:45.7,3,afstand,2000,,3,300,ergometer,24-26-28-30,6:29.4,11-12-2021
,,,,,,,,,,,,,,,,,,
26-10-2021,1,M,Z,MGH,z4,I,3x2000m/5'r,1:41.4,3,afstand,2000,,1,300,ergometer,26-28-30-32,6:21.6,11-12-2021
26-10-2021,1,M,Z,MGH,z4,I,3x2000m/5'r,1:41.8,3,afstand,2000,,2,300,ergometer,26-28-30-32,6:21.6,11-12-2021
26-10-2021,1,M,Z,MGH,z4,I,3x2000m/5'r,1:42.4,3,afstand,2000,,3,300,ergometer,26-28-30-32,6:21.6,11-12-2021
26-10-2021,1,M,Z,MGH,z3,I,3x2000m/5'r,1:45.3,3,afstand,2000,,1,300,ergometer,26-28-30-32,6:30.4,11-12-2021
26-10-2021,1,M,Z,MGH,z3,I,3x2000m/5'r,1:44.5,3,afstand,2000,,2,300,ergometer,26-28-30-32,6:30.4,11-12-2021
26-10-2021,1,M,Z,MGH,z3,I,3x2000m/5'r,1:46.1,3,afstand,2000,,3,300,ergometer,26-28-30-32,6:30.4,11-12-2021
26-10-2021,1,M,Z,MGH,z7,I,3x2000m/5'r,,3,afstand,2000,,1,300,ergometer,26-28-30-32,,11-12-2021
